一级分类,二级分类,三级分类,原料SUK,原料名称,原料对应入库单位,,APP上线名称,修改APP线上名称,等级,修改等级,线上包装规格,修改包装规格,**斤/袋,,修改包装单位,售卖单位,,
,,,1001898,,袋,,,,,,,,,,,,,
,,,1001901,,袋,,,,,,,,,,,,,
,,,1001904,,袋,,,,,,,,,,,,,
,,,1001907,,袋,,,,,,,,,,,,,
,,,1001911,,袋,,,,,,,,,,,,,
,,,1001915,,袋,,,,,,,,,,,,,
,,,1001918,,袋,,,,,,,,,,,,,
,,,1001926,,袋,,,,,,,,,,,,,
,,,1001930,,袋,,,,,,,,,,,,,
,,,1001923,,袋,,,,,,,,,,,,,
,,,1001932,,袋,,,,,,,,,,,,,
,,,1001939,,袋,,,,,,,,,,,,,
,,,1001943,,袋,,,,,,,,,,,,,
,,,1001830,,袋,,,,,,,,,,,,,
,,,1001836,,袋,,,,,,,,,,,,,
,,,1001839,,袋,,,,,,,,,,,,,
,,,1001947,,袋,,,,,,,,,,,,,
,,,1001950,,袋,,,,,,,,,,,,,
,,,1001953,,袋,,,,,,,,,,,,,
,,,1001955,,袋,,,,,,,,,,,,,
,,,1001959,,袋,,,,,,,,,,,,,
,,,1001962,,袋,,,,,,,,,,,,,
,,,1001965,,袋,,,,,,,,,,,,,
,,,1001969,,袋,,,,,,,,,,,,,
,,,1001972,,袋,,,,,,,,,,,,,
,,,1001975,,袋,,,,,,,,,,,,,
,,,1001977,,袋,,,,,,,,,,,,,
,,,1001982,,袋,,,,,,,,,,,,,
,,,1001983,,袋,,,,,,,,,,,,,
,,,1001985,,袋,,,,,,,,,,,,,
,,,1001987,,袋,,,,,,,,,,,,,
,,,1001989,,袋,,,,,,,,,,,,,
,,,1001991,,袋,,,,,,,,,,,,,
,,,1001993,,袋,,,,,,,,,,,,,
,,,1001995,,袋,,,,,,,,,,,,,
,,,1001997,,袋,,,,,,,,,,,,,
,,,1001999,,袋,,,,,,,,,,,,,
,,,1002001,,袋,,,,,,,,,,,,,
,,,1002003,,袋,,,,,,,,,,,,,
,,,1002008,,袋,,,,,,,,,,,,,
,,,1002010,,袋,,,,,,,,,,,,,
,,,1002012,,袋,,,,,,,,,,,,,
,,,1002014,,袋,,,,,,,,,,,,,
,,,1002016,,袋,,,,,,,,,,,,,
,,,1002017,,袋,,,,,,,,,,,,,
,,,1002020,,袋,,,,,,,,,,,,,
,,,1002088,,袋,,,,,,,,,,,,,
,,,1002892,,袋,,,,,,,,,,,,,
,,,1002981,,袋,,,,,,,,,,,,,
,,,1003071,,袋,,,,,,,,,,,,,
