内部货号,计量单位,,
1003069,件,,
1003070,件,,
1003079,件,,
1003080,件,,
1003199,件,,
1003309,件,,
1003327,件,,
1003328,件,,
1003329,件,,
1003330,件,,
1003331,件,,
1003332,件,,
1003333,件,,
1003334,件,,
1003335,件,,
1003336,件,,
1003337,件,,
1003338,件,,
1003339,件,,
1003340,件,,
1003341,件,,
1003342,件,,
1003343,件,,
1003344,件,,
1003345,件,,
1003346,件,,
1003347,件,,
1003348,件,,
1003349,件,,
1003350,件,,
1003351,件,,
1003352,件,,
1003353,件,,
1003354,件,,
1003355,件,,
1003356,件,,
1003357,件,,
1003358,件,,
1003359,件,,
1003360,件,,
1003361,件,,
1003362,件,,
1003363,件,,
1003364,件,,
1003365,件,,
1003366,件,,
1003367,件,,
1003368,件,,
1003369,件,,
1003370,件,,
1003371,件,,
1003372,件,,
1003373,件,,
1003374,件,,
1003375,件,,
1003376,件,,
1003377,件,,
1003378,件,,
1003379,件,,
1003493,件,,
1003494,件,,
1003495,件,,
1003496,件,,
1003497,件,,
1003498,件,,
1003499,件,,
1003500,件,,
1003501,件,,
1003502,件,,
1003503,件,,
1003504,件,,
1003505,件,,
1003506,件,,
1003507,件,,
1003511,件,,
1003970,件,,
1003972,件,,
1003974,件,,
1003975,件,,
1003977,件,,
1003979,件,,
1003981,件,,
1003982,件,,
1003984,件,,
1003986,件,,
1003988,件,,
1003989,件,,
1000457,件,,
1000458,件,,
1000459,件,,
1000460,件,,
1000461,件,,
1000462,件,,
1000463,件,,
1000490,件,,
1000494,件,,
1000495,件,,
1000496,件,,
1000497,件,,
1000498,件,,
1000499,件,,
1000500,件,,
1000501,件,,
1000502,件,,
1000503,件,,
1000504,件,,
1000505,件,,
1000756,件,,
1000757,件,,
1000803,件,,
1000804,件,,
1000805,件,,
1000806,件,,
1000807,件,,
1000996,件,,
1000997,件,,
1000998,件,,
1000999,件,,
1001000,件,,
1001001,件,,
1001002,件,,
1001003,件,,
1001004,件,,
1001005,件,,
1001387,件,,
1001388,件,,
1001389,件,,
1001390,件,,
1001427,件,,
1001428,件,,
1001429,件,,
1001430,件,,
1001431,件,,
1001432,件,,
1001433,件,,
1001434,件,,
1001435,件,,
1001436,件,,
1001437,件,,
1001438,件,,
1001439,件,,
1001440,件,,
1001441,件,,
1001442,件,,
1001443,件,,
1001444,件,,
1001445,件,,
1001446,件,,
1001699,件,,
1001700,件,,
1001701,件,,
1001702,件,,
1001703,件,,
1001704,件,,
1001705,件,,
1001706,件,,
1001707,件,,
1001708,件,,
1001709,件,,
1001710,件,,
1001711,件,,
1001712,件,,
1001713,件,,
1001714,件,,
1001715,件,,
1001716,件,,
1001717,件,,
1001782,件,,
1002072,件,,
1002073,件,,
1002074,件,,
1002075,件,,
1002076,件,,
1002077,件,,
1002089,件,,
1002673,件,,
1002674,件,,
1002676,件,,
1002682,件,,
1002684,件,,
1002685,件,,
1002686,件,,
1002687,件,,
1002688,件,,
1002689,件,,
1002690,件,,
1002691,件,,
1002692,件,,
1002694,件,,
1002695,件,,
1002704,件,,
1002711,件,,
1002712,件,,
1002713,件,,
1002714,件,,
1002805,件,,
1002806,件,,
1002807,件,,
1002808,件,,
1002809,件,,
1002810,件,,
1002811,件,,
1002812,件,,
1002813,件,,
1002814,件,,
1002815,件,,
1002816,件,,
1002817,件,,
1002818,件,,
1002819,件,,
1002820,件,,
1002822,件,,
1002824,件,,
1002825,件,,
1002837,件,,
1002838,件,,
1002849,件,,
1002887,件,,
1002888,件,,
1002889,件,,
1002890,件,,
1002891,件,,
1002896,件,,
1002897,件,,
